date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:15:05	4945/4945	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202024%2007:14:52%20GMT	https://site12947401.nicepage.io/Contacto.html	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/Contacto.html	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:05	73012/73012	---M--	200	added ('OK')	image/png	etag:%22c14675312a50a2255dcf612a6dfdb16b%22	https://assets.nicepagecdn.com/8f5bef72/6348336/images/image2.png	C:/My%20Web%20Sites/portfolio/assets.nicepagecdn.com/8f5bef72/6348336/images/image2.png	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:05	36257/36257	---M--	200	added ('OK')	image/png	etag:%22533efb459d60719877b28b8dc5fcaae8%22	https://assets.nicepagecdn.com/8f5bef72/6348336/images/image3.png	C:/My%20Web%20Sites/portfolio/assets.nicepagecdn.com/8f5bef72/6348336/images/image3.png	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:05	69274/69274	---M--	200	added ('OK')	image/png	etag:%229c8a50efb17c0dadf23f754cde307fb2%22	https://assets.nicepagecdn.com/8f5bef72/6348336/images/NetworkDefense_v1_091721.png	C:/My%20Web%20Sites/portfolio/assets.nicepagecdn.com/8f5bef72/6348336/images/NetworkDefense_v1_091721.png	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:06	11596/11596	---M--	200	added ('OK')	image/png	etag:%22f390c0136f3f2eb9add95bff27759599%22	https://assets.nicepagecdn.com/8f5bef72/6348336/images/image.png	C:/My%20Web%20Sites/portfolio/assets.nicepagecdn.com/8f5bef72/6348336/images/image.png	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:06	4639/4639	---M--	200	added ('OK')	image/png	etag:%222b6d0caf5cc4bb57bba3ce2d59d0825c%22	https://assets.nicepagecdn.com/8f5bef72/6348336/images/image1.png	C:/My%20Web%20Sites/portfolio/assets.nicepagecdn.com/8f5bef72/6348336/images/image1.png	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:07	540511/540511	---M--	200	added ('OK')	image/png	etag:%2224f1afe52d75cd7b082cbd8e919ab3b7%22	https://assets.nicepagecdn.com/8f5bef72/6348336/images/fotograduacion.png	C:/My%20Web%20Sites/portfolio/assets.nicepagecdn.com/8f5bef72/6348336/images/fotograduacion.png	(from https://site12947401.nicepage.io/index.css)
09:15:07	51762/51762	---M--	200	added ('OK')	image/jpeg	etag:%227b7f84d02d4845446e2bcc8b7cff5260%22	https://assets.nicepagecdn.com/8f5bef72/6348336/images/ImagendeWhatsApp2023-12-31alas19.21.23_eb925939.jpg	C:/My%20Web%20Sites/portfolio/assets.nicepagecdn.com/8f5bef72/6348336/images/ImagendeWhatsApp2023-12-31alas19.21.23_eb925939.jpg	(from https://site12947401.nicepage.io/index.css)
09:15:07	5034/5034	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22e01836379a08fd6809bc20a9933f25ef%22	https://site12947401.nicepage.io/signature.png	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/signature.png	(from http://capp.nicepage.com/796ef266c6acf835ee1d05adb87f40991fcb995e/nicepage.js)
09:15:08	5582/5582	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220556900779a911fd2c4f8a3c844dac64%22	https://site12947401.nicepage.io/Content/BundledScripts/	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/796ef266c6acf835ee1d05adb87f40991fcb995e/nicepage.js)
09:15:08	48/48	---M-Z	200	added ('OK')	text/css	etag:W/%22e2f56cf77e8ca9b582000486000c7b78%22	https://site12947401.nicepage.io/Acerca-de.css	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/Acerca-de.css	(from https://site12947401.nicepage.io/Acerca-de.html)
09:15:08	5582/5582	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220556900779a911fd2c4f8a3c844dac64%22	https://site12947401.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/796ef266c6acf835ee1d05adb87f40991fcb995e/nicepage.js)
09:15:08	48/48	---M-Z	200	added ('OK')	text/css	etag:W/%22e2f56cf77e8ca9b582000486000c7b78%22	https://site12947401.nicepage.io/Contacto.css	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/Contacto.css	(from https://site12947401.nicepage.io/Contacto.html)
